feature,feature_dissatisfaction,feature_satisfaction,feature_neutral,feature_frequency
delivery service,0.39670008394961637,0.5702281205188852,0.0,9
whole day,0.0,0.36713732768583707,0.0,2
poor service,0.41785701212406534,0.0,0.0,3
be prepared,1.0,0.0,0.0,2
low pay,0.042805312904701014,0.0,0.0,1
first time,0.0076581486985611595,0.4652547327899864,0.0,16
last time,0.2489496392392155,0.01171339288153748,0.705635972916358,6
first order,0.17236614645875975,0.4879818664107825,0.0,5
store close,0.09124184403943918,0.0,1.0,2
same price,0.06989898407939088,0.10900138534632703,0.0,3
poor service,0.27558540704591145,0.0,0.0,3
be nice,0.0,0.9433446552228103,0.0,6
star review,0.0,0.03877280830774248,0.7785813666353667,2
re order,0.09109176176709328,0.07375656370121145,0.6911689252240286,9
have drive,0.0,0.48727533056049777,0.0,2
uber eats,0.1598707661854705,0.2388122364281413,0.3366780719565866,109
extra money,0.1623328568589249,0.2911680835956732,0.0,2
say sorry,0.20712178619425115,0.10174134870908978,0.0,2
grub hub,0.09236464972378285,0.09230949819317207,0.6028066264639881,17
ur food,0.1103698309018293,0.08627409478578613,0.4093800769267076,31
delivery fee,0.02498377177879704,0.06757417667658953,0.4509963837698576,23
few time,0.10640916098465451,0.1286002685061271,0.0,3
pizza place,0.0,0.6914341290607064,0.0,2
be careful,0.12936037897325323,0.0,0.0,3
pizza place,0.0,0.6338208154184445,0.0,2
uber eats,0.10837893816928702,0.16189461790586537,0.22823942622008822,109
have multiple,0.08654134949365584,0.0,0.4742415632034379,2
second time,0.05727608686753321,0.0,0.6277392513327075,6
be good,0.0,0.689529942422652,0.0,4
re order,0.054462034649876104,0.04409764889850091,0.4132367760183877,9
confirm order,0.36477715381915565,0.0,0.46129790599502507,2
delivery fee,0.0193480501849958,0.052331112096453004,0.34926274317940414,23
hour late,0.11039230147675216,0.0009819090928155304,0.33272986921322345,8
ur food,0.074707400899852,0.058397420144336985,0.2771021870512705,31
delivery driver,0.04249759841308021,0.19736800461553608,0.3048668095592888,11
lose customer,0.4013728840079085,0.0,0.0,1
have drive,0.0,0.25727552995459546,0.0,2
be honest,0.0,0.41398178093366533,0.0,1
be deliver,0.0179502346139774,0.08100337194004208,0.31147593425100517,10
need help,0.0,0.2577764822239255,0.3882230380826264,2
arrival time,0.007839602259737646,0.10269149333561507,0.25776338725735265,3
be good,0.0,0.5612396563201721,0.0,4
quality food,0.0,1.0,0.0,1
be good,0.0,0.5499492097480829,0.0,4
say help,0.0,0.24584858277184415,0.3702590821651563,2
first time,0.002646928474222127,0.16080857769447676,0.0,16
contact uber,0.0,0.09553559579888282,0.0,1
bottom line,0.32112741485972657,0.10126687686875391,0.0,2
uber eats,0.07566115435640233,0.1130213478906152,0.15933777124187165,109
original order,0.0,0.17198903057477796,0.0,2
delivery fee,0.014596209143201196,0.039478699380699325,0.2634845370273082,23
grub hub,0.04841456472271045,0.048385656072525575,0.3159717545564922,17
do anything,0.07453569009996992,0.05936300009036426,0.21745714313048375,18
next time,0.0,0.08338502002547317,0.0,1
first place,0.02390587575787448,0.1391754326850211,0.0,4
do anything,0.0717709344483156,0.05716104570074416,0.20939099569619773,18
food quality,0.0,0.4576667118128159,0.0,1
many time,0.0,0.31325668496785547,0.0,7
hour wait,0.013998348663075309,0.07130874306656654,0.1534202734550669,4
group order,0.0,0.16267523713485463,0.0,1
missing item,0.10406112371073695,0.009511850719820346,0.03061891319639946,20
get money,0.2259225791136978,0.0,0.0,1
